Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location
743,1,1,2,10,1,1
3176,0,3,3,3,0,0
1709,1,1,2,10,2,0
1292,6,4,4,7,1,1
2987,3,4,3,4,2,1
831,5,4,4,7,2,0
1249,4,4,5,8,0,1
5205,5,1,4,15,0,0
6606,2,4,0,12,2,1
1462,4,2,5,4,1,0
2198,5,0,4,10,2,1
4578,3,1,3,13,0,0
2152,3,3,3,3,0,1
2034,6,3,4,5,1,1
3294,5,2,4,3,2,1
1302,5,1,4,15,2,1
6579,5,4,4,7,0,0
3335,2,4,0,12,1,0
3725,3,3,3,3,1,1
5872,6,4,4,7,1,1
553,3,4,2,2,2,1
6791,6,3,4,5,2,0
6154,6,1,4,15,2,1
57,4,1,5,2,1,0
1330,6,3,4,5,2,1
843,6,2,4,3,2,0
1150,5,3,4,5,2,1
6746,3,3,3,3,2,1
366,2,1,0,6,2,1
3554,4,2,5,4,0,1
5567,3,3,3,3,2,0
6650,3,4,3,4,2,1
5665,3,4,3,4,0,1
5295,0,4,3,4,2,1
1849,6,2,4,3,1,1
5971,6,4,4,7,2,1
2040,0,4,3,4,2,1
4295,5,3,4,5,0,1
6123,3,4,3,4,2,0
6288,4,0,5,12,2,1
5549,3,0,3,9,2,0
1238,5,0,4,10,0,1
6439,6,3,4,5,2,1
3186,5,2,3,13,2,0
5896,3,4,3,13,0,1
1646,2,0,0,0,1,1
1305,7,1,1,9,0,0
2991,0,1,3,13,1,0
3991,3,0,0,0,0,0
4292,1,0,2,6,0,1
2271,5,3,4,5,0,1
6060,7,4,1,14,0,1
2240,3,3,3,3,0,0
2187,1,1,2,10,1,0
773,5,1,4,15,2,0
881,2,1,0,6,2,1
3395,0,2,3,16,0,0
3270,0,3,3,3,1,1
2350,2,4,0,12,2,1
2493,3,4,0,12,2,0
6256,7,1,1,9,1,0
1378,3,4,3,4,1,1
1611,1,2,2,13,1,1
3359,4,4,5,8,0,0
1648,1,3,2,15,2,0
7037,3,3,3,3,0,1
6089,1,3,2,15,0,0
6668,3,4,5,8,0,1
461,4,2,5,4,2,1
2227,3,1,3,13,2,1
6688,2,2,0,9,1,1
2686,2,4,0,12,2,1
2531,7,3,1,13,2,1
1886,5,0,4,10,2,0
4088,6,1,4,15,1,1
1230,6,4,4,7,2,1
1820,3,2,3,16,2,1
1655,1,4,2,2,2,1
402,3,2,3,16,0,1
2698,4,1,5,2,1,1
6532,1,2,2,13,2,1
3330,0,1,3,13,2,1
4154,1,4,2,2,2,0
5461,3,2,3,16,2,1
2966,7,3,1,13,0,0
6764,3,4,3,4,1,1
6337,6,3,4,5,1,1
3876,3,1,3,13,2,1
1890,5,1,4,15,0,0
1025,7,0,1,1,0,1
6477,7,0,1,1,2,1
939,3,3,3,3,1,1
95,3,4,3,4,0,0
320,3,1,3,13,2,1
6032,7,4,1,14,1,1
4256,1,4,2,2,0,0
3118,4,2,5,4,1,0
2363,5,4,4,7,2,0
3116,7,0,1,1,1,1
